index,object_id,category,embedding_caption_before_manual_judgement,present_attributes_before_manual_judgement,contact_sheet
1,03001627_1006be65e7bc937e9141f9b58470d646,chair,"A chair with single main body, curved shell, distinct seat, backrest, and four or more legs.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1006be65e7bc937e9141f9b58470d646.png
2,03001627_1007e20d5e811b308351982a6e40cf41,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests. Reconstruction-relevant geometry includes slats and cylindrical parts.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1007e20d5e811b308351982a6e40cf41.png
3,03001627_100b18376b885f206ae9ad7e32c4139d,chair,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.",has_single_main_body; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_100b18376b885f206ae9ad7e32c4139d.png
4,03001627_1013f70851210a618f2e765c4a8ed3d,chair,"A chair with single main body, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1013f70851210a618f2e765c4a8ed3d.png
5,03001627_1015e71a0d21b127de03ab2a27ba7531,chair,"A chair with single main body, curved shell, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports and cross braces or bars.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1015e71a0d21b127de03ab2a27ba7531.png
6,03001627_1016f4debe988507589aae130c1f06fb,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1016f4debe988507589aae130c1f06fb.png
7,03001627_1022fe7dd03f6a4d4d5ad9f13ac9f4e7,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_pedestal_or_central_support; has_star_base_or_wheels,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1022fe7dd03f6a4d4d5ad9f13ac9f4e7.png
8,03001627_1028b32dc1873c2afe26a3ac360dbd4,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, perforations or holes, and asymmetry.",has_single_main_body; has_flat_horizontal_surface; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_perforations_or_holes; has_asymmetry,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1028b32dc1873c2afe26a3ac360dbd4.png
9,03001627_1031fc859dc3177a2f84cb7932f866fd,chair,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and four or more legs.",has_single_main_body; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1031fc859dc3177a2f84cb7932f866fd.png
10,03001627_1033ee86cc8bac4390962e4fb7072b86,chair,"A chair with single main body, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1033ee86cc8bac4390962e4fb7072b86.png
11,03001627_103a0a413d4c3353a723872ad91e4ed1,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, perforations or holes, and open gaps.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_perforations_or_holes; has_open_gaps; has_concavity; has_cylindrical_parts; has_asymmetry; has_occluded_or_hidden_supports,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_103a0a413d4c3353a723872ad91e4ed1.png
12,03001627_103a60f3b09107df2da1314e036b435e,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_103a60f3b09107df2da1314e036b435e.png
13,03001627_103b75dfd146976563ed57e35c972b4b,chair,"A chair with single main body, curved shell, distinct seat, and backrest.",has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_103b75dfd146976563ed57e35c972b4b.png
14,03001627_103c31671f8c0b1467bb14b25f99796e,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, slats, and cylindrical parts.",has_single_main_body; has_flat_horizontal_surface; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_103c31671f8c0b1467bb14b25f99796e.png
15,03001627_103d77d63f0d68a044e6721e9db29c1b,chair,"A chair with single main body, curved shell, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_103d77d63f0d68a044e6721e9db29c1b.png
16,03001627_104256e5bb73b0b719fb4103277a6b93,chair,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_104256e5bb73b0b719fb4103277a6b93.png
17,03001627_1049953406c81b237eaeab1f0c9120b7,chair,"A chair with single main body, curved shell, distinct seat, and backrest.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1049953406c81b237eaeab1f0c9120b7.png
18,03001627_1055f78d441d170c4f3443b22038d340,chair,"A chair with single main body, distinct seat, backrest, armrests, and four or more legs. Reconstruction-relevant geometry includes slats and cylindrical parts.",has_single_main_body; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1055f78d441d170c4f3443b22038d340.png
19,03001627_1063d4fcd366de4060e37b3f76995f8b,chair,"A chair with single main body, curved shell, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1063d4fcd366de4060e37b3f76995f8b.png
20,03001627_106a0dbaead5066519fb4103277a6b93,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_106a0dbaead5066519fb4103277a6b93.png
21,03001627_106c7f10c5bf5bd5f51f77a6d7299806,chair,"A chair with single main body, boxy volume, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_106c7f10c5bf5bd5f51f77a6d7299806.png
22,03001627_106e9487a1d47ff1a09cb462b3e723e2,chair,"A chair with single main body, curved shell, distinct seat, and backrest.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_106e9487a1d47ff1a09cb462b3e723e2.png
23,03001627_10709332176024ce9e47e7a22e24daa3,chair,"A chair with single main body, curved shell, distinct seat, backrest, and four or more legs.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_10709332176024ce9e47e7a22e24daa3.png
24,03001627_1079635b3da12a812cee4bf5d0f11ffe,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1079635b3da12a812cee4bf5d0f11ffe.png
25,03001627_107caefdad02cf1c8ab8e68cb52baa6a,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats and partly hidden supports.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats; has_occluded_or_hidden_supports,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_107caefdad02cf1c8ab8e68cb52baa6a.png
26,03001627_107ed94869ed6f1be13496cd332ce78f,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_107ed94869ed6f1be13496cd332ce78f.png
27,03001627_108238b535eb293cd79b19c7c4f0e293,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_108238b535eb293cd79b19c7c4f0e293.png
28,03001627_108b9cb292fd811cf51f77a6d7299806,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, perforations or holes, and partly hidden supports.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_perforations_or_holes; has_occluded_or_hidden_supports,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_108b9cb292fd811cf51f77a6d7299806.png
29,03001627_1093d35c2ac73bb74ca84d60642ec7e8,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1093d35c2ac73bb74ca84d60642ec7e8.png
30,03001627_10991b3b01cc6cc99982a4d6320875e,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats, cylindrical parts, and partly hidden supports.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats; has_cylindrical_parts; has_occluded_or_hidden_supports,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_10991b3b01cc6cc99982a4d6320875e.png
31,03001627_10a1783f635b3fc181dff5c2e57ad46e,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_10a1783f635b3fc181dff5c2e57ad46e.png
32,03001627_10c08a28cae054e53a762233fffc49ea,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_10c08a28cae054e53a762233fffc49ea.png
33,03001627_10d174a00639990492d9da2668ec34c,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_pedestal_or_central_support; has_star_base_or_wheels,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_10d174a00639990492d9da2668ec34c.png
34,03001627_10d5c2f88b60bbf5febad4f49b26ec52,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_10d5c2f88b60bbf5febad4f49b26ec52.png
35,03001627_10dc303144fe5d668d1b9a1d97e2846,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_flat_horizontal_surface; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_10dc303144fe5d668d1b9a1d97e2846.png
36,03001627_10de9af4e91682851e5f7bff98fb8d02,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_10de9af4e91682851e5f7bff98fb8d02.png
37,03001627_10e523060bb5b51f9ee9f382b1dfb770,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_10e523060bb5b51f9ee9f382b1dfb770.png
38,03001627_11040f463a3895019fb4103277a6b93,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11040f463a3895019fb4103277a6b93.png
