object_id,changed,previous_caption,corrected_caption,previous_attributes,corrected_attributes,reviewer_note
03001627_1006be65e7bc937e9141f9b58470d646,True,"A chair with single main body, curved shell, distinct seat, backrest, and four or more legs.","A chair with single main body, curved shell, distinct seat, backrest, four or more legs, and thin supports.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs,has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports,Thin wire legs are clearly visible; the original caption missed thin supports.
03001627_1007e20d5e811b308351982a6e40cf41,True,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests. Reconstruction-relevant geometry includes slats and cylindrical parts.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, four or more legs, thin supports, slats, open gaps, and cylindrical parts.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_slats; has_cylindrical_parts,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_slats; has_open_gaps; has_cylindrical_parts,This is a slatted rocking chair. The side structures are rockers/supports rather than clear armrests; thin supports and open gaps are visible.
03001627_100b18376b885f206ae9ad7e32c4139d,True,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.","A chair with single main body, flat horizontal surface, curved shell, boxy volume, distinct seat, backrest, and armrests.",has_single_main_body; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests,"The armchair has a rounded boxy body and arms, but no visible four-leg support in the contact sheet."
03001627_1013f70851210a618f2e765c4a8ed3d,True,"A chair with single main body, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, armrests, thin supports, cross braces or bars, open gaps, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_thin_supports; has_cross_braces_or_bars; has_open_gaps; has_cylindrical_parts,"Tubular cantilever/lounge chair: visible cylindrical support frame, open side gaps, and cross bars; it should not be treated as a four-legged chair."
03001627_1015e71a0d21b127de03ab2a27ba7531,False,"A chair with single main body, curved shell, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports and cross braces or bars.","A chair with single main body, curved shell, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports and cross braces or bars.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars,has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars,Original caption matches the shell chair with wire legs and cross braces.
03001627_1016f4debe988507589aae130c1f06fb,True,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, four or more legs, thin supports, cross braces or bars, and open gaps.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_open_gaps,Simple four-leg chair with flat seat/back panels and open frame; the visible geometry does not support slats strongly enough.
03001627_1022fe7dd03f6a4d4d5ad9f13ac9f4e7,True,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, pedestal or central support, and star base or wheels.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_pedestal_or_central_support; has_star_base_or_wheels,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_pedestal_or_central_support; has_star_base_or_wheels,Office chair with central pedestal and wheeled star base; the star-base branches should not be counted as ordinary four-or-more legs.
03001627_1028b32dc1873c2afe26a3ac360dbd4,True,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, perforations or holes, and asymmetry.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, armrests, thin supports, cross braces or bars, perforations or holes, open gaps, and cylindrical parts.",has_single_main_body; has_flat_horizontal_surface; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_perforations_or_holes; has_asymmetry,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_thin_supports; has_cross_braces_or_bars; has_perforations_or_holes; has_open_gaps; has_cylindrical_parts,"Perforated cantilever/tubular side chair: holes, open tubular supports, and arms are visible; asymmetry, slats, boxy volume, and ordinary four legs are not supported."
03001627_1031fc859dc3177a2f84cb7932f866fd,True,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, curved shell, distinct seat, backrest, pedestal or central support, and cylindrical parts.",has_single_main_body; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_pedestal_or_central_support; has_cylindrical_parts,Decorative chair with curled cylindrical top/back and central carved support; no clear four-legged support or armrests in the contact sheet.
03001627_1033ee86cc8bac4390962e4fb7072b86,True,"A chair with single main body, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, armrests, thin supports, cross braces or bars, open gaps, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_thin_supports; has_cross_braces_or_bars; has_open_gaps; has_cylindrical_parts,Tubular cantilever armchair; the visible support is an open cylindrical frame rather than four independent legs.
